Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700590A
Comment,
Iridium IMEI,300434062491970

Report Period Begins,2017.12.12 17:45:00
Report Period Ends,2021.01.03 00:01:23

Report File Number,1 of 1
File Coverage Begins,2017.12.12 17:45:00
File Coverage Ends,2021.01.03 00:01:23

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2017.12.12 17:45:00,2017.12.12 17:45:00,,,,,,,,,,,,,,,,,,29,,2017.12.12 18:00:23,1,,,,Roof Test,No,
2017.12.12 17:45:12,2017.12.12 17:45:00,,,,2017.12.12 17:45:12,Resolved QFP,33.384483,-111.811224,12S,3694206,424548,385,,1.1,0x84922280,8,,,,,2017.12.12 18:00:23,1,,,,Roof Test,No,
2017.12.12 18:00:00,2017.12.12 18:00:00,,,,,,,,,,,,,,,,,,30,,2017.12.12 18:00:23,1,,,,Roof Test,No,
2017.12.12 18:00:11,2017.12.12 18:00:00,,,,2017.12.12 18:00:11,Resolved QFP,33.384463,-111.811220,12S,3694204,424549,390,,1.0,0x84922280,8,,,,,2017.12.12 18:00:23,1,,,,Roof Test,No,
2017.12.12 18:00:23,2017.12.12 18:00:23,,,,,,,,,,,,,,,,,,,Hit,2017.12.12 18:00:23,1,No,No,,,No,
2017.12.12 18:00:23,2017.12.12 18:00:23,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2017.12.12 18:00:23,,,,,,,
2017.12.12 18:15:00,2017.12.12 18:15:00,,,,,,,,,,,,,,,,,,28,,2017.12.12 18:30:22,1,,,,Roof Test,No,
2017.12.12 18:15:10,2017.12.12 18:15:00,,,,2017.12.12 18:15:10,Resolved QFP,33.384423,-111.811200,12S,3694199,424550,391,,1.1,0x84922280,8,,,,,2017.12.12 18:30:22,1,,,,Roof Test,No,
2017.12.12 18:30:00,2017.12.12 18:30:00,,,,,,,,,,,,,,,,,,29,,2017.12.12 18:30:22,1,,,,Roof Test,No,
2017.12.12 18:30:10,2017.12.12 18:30:00,,,,2017.12.12 18:30:10,Resolved QFP,33.384499,-111.811248,12S,3694208,424546,394,,1.4,0x84920680,8,,,,,2017.12.12 18:30:22,1,,,,Roof Test,No,
2017.12.12 18:30:22,2017.12.12 18:30:22,,,,,,,,,,,,,,,,,,,Hit,2017.12.12 18:30:22,1,No,No,,,No,
2017.12.12 18:30:22,2017.12.12 18:30:22,681,33.37303,-111.84930,,,,,,,,,,,,,,,,,2017.12.12 18:30:22,,,,,,,
2017.12.12 18:45:00,2017.12.12 18:45:00,,,,,,,,,,,,,,,,,,33,,2017.12.12 20:10:51,1,,,,Roof Test,No,
2017.12.12 18:45:08,2017.12.12 18:45:00,,,,2017.12.12 18:45:08,Resolved QFP,33.384462,-111.811160,12S,3694204,424554,380,,0.8,0xC4920680,9,,,,,2017.12.12 20:10:51,1,,,,Roof Test,No,
